id	title	original_title	overview	release_date	original_language	genre_ids	adult	poster_path	backdrop_path	popularity	vote_count	vote_average	video
595975	La Belle Époque	La Belle Époque	Victor, a disillusioned sexagenarian, sees his life turned upside down on the day when Antoine, a brilliant entrepreneur, offers him a new kind of attraction: mixing theatrical artifices and historical reconstruction, this company offers his clients a chance to dive back into the era of their choice. Victor then chose to relive the most memorable week of his life: the one where, 40 years earlier, he met the great love.	2019-11-06	fr	35, 18	FALSE	/mJJD5m0uHKqcWctQRcPoOuHvG6E.jpg	/lkWsCOVkfPtGmnrtKSxwpoTimRx.jpg	12.039	654	7.5	FALSE
364433	They Call Me Jeeg	Lo chiamavano Jeeg Robot	After accidentally coming into contact with radioactive waste, small-time crook Enzo Ceccotti gains superpowers. A misanthropic, introverted brute, he uses his new powers for personal gain until he meets Alessia, a mentally challenged girl who believes Enzo’s the hero from her favorite Japanese anime series, Steel Jeeg.	2016-02-25	it	80, 18, 28, 878	FALSE	/5V54GvHclEuO4qJ13tEaFqaFTxP.jpg	/dLhBHSv5v2wKuZQ3sumthfLplHU.jpg	15.1	2111	7.5	FALSE
33273	Cell 211	Celda 211	The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.	2009-11-06	es	28, 53, 18	FALSE	/koap5B3bQHQi3yaZ39vpWR66TGP.jpg	/kujUJjGGKNN2d7G5NcCnplZPfGd.jpg	16.232	891	7.5	FALSE
17529	True Grit	True Grit	The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.	1969-06-11	en	37	FALSE	/aM8s7NckrZvxR9IGYNk4nRYEoiV.jpg	/oejOWx7dtW35LlaLYzm0sBVpSbw.jpg	9.001	528	7.5	FALSE
530	A Grand Day Out	A Grand Day Out	Wallace and Gromit have run out of cheese and this provides an excellent excuse for the animated duo to take their holiday on the moon, where, as everyone knows, there is ample cheese. The moon is inhabited by a mechanical caretaker, who is not too happy about the two visitors from earth that nibble on the moon.	1990-05-18	en	12, 16, 35, 878, 10751	FALSE	/og1s6iwv73WMShgNzg0WTtmrKXy.jpg	/1mY2vJCGQW2IUgGK6yNc852A4tR.jpg	12.563	578	7.5	FALSE
252	Willy Wonka & the Chocolate Factory	Willy Wonka & the Chocolate Factory	When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.	1971-06-29	en	10751, 14, 35	FALSE	/vmpsZkrs4Uvkp9r1atL8B3frA63.jpg	/3sTjAagABWM68nitUlrNNjI5gYW.jpg	44.041	2470	7.5	FALSE
507505	El Angel	El Ángel	Buenos Aires, Argentina, 1971. Carlos Robledo Puch is a 19-year-old boy with an angelic face, but a vocational thief as well, who acts ruthlessly, without remorse. When he meets Ramón, they follow together a dark path of crime and death.	2018-08-09	es	80, 18	FALSE	/iYrcnrxv80L9JbV9YfVv45VpNM2.jpg	/gRxlzFYDKdzNnhu8OFIKm3i9b6f.jpg	14.39	415	7.5	FALSE
228150	Fury	Fury	In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.	2014-10-15	en	10752, 18, 28	FALSE	/q7kgbEjx2BHUDErfU7lH8UqS51R.jpg	/1uKHoFWyYJn060dpIXUCU7Wbc15.jpg	79.633	9263	7.5	FALSE
21450	Naked	Naked	An unemployed Brit vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.	1993-09-14	en	18, 35	FALSE	/9iZfceXR0Ys8bJQRaTYCzQ18GaN.jpg	/uIh3mW3AuSM7ww7NYtvSWDQ1zc7.jpg	8.27	340	7.5	FALSE
9549	The Right Stuff	The Right Stuff	A chronicle of the original Mercury astronauts in the formation of America's space program: Alan Shepherd, the first American in space; Gus Grissom, the benighted astronaut for whom nothing works out as planned; John Glenn, the straight-arrow 'boy scout' of the bunch who was the first American to orbit the earth; and the remaining pilots: Deke Slayton, Scott Carpenter and Wally Schirra.	1983-10-20	en	18, 36	FALSE	/btqTjNRxecYgQ1FGfVlLqSSNjz.jpg	/ue3CJYZVmghRYMDWbcoZW07Yk8c.jpg	9.021	607	7.5	FALSE
